City,Lat,Long,Google Maps Link,Name,Category,List,Closed
Bad Saarow,52.2910173,14.060492799999999,https://www.google.com/maps/place/SaarowTherme/data=!4m2!3m1!1s0x47078a1e107cb539:0x8a74f866f1bf0bca,SaarowTherme,other,want to go,
Bad Schandau,50.9126945,14.204415,https://www.google.com/maps/place/Schrammsteinaussicht/data=!4m2!3m1!1s0x4709a6b8682d33f9:0xf26f8f0e473960b3,Schrammsteinaussicht,other,want to go,
Badung Regency,-8.615366850000001,115.12845349999999,https://www.google.com/maps/place/Seseh/data=!4m2!3m1!1s0x2dd2384d112ba4cd:0xeaf1d65a2b96dc34,Seseh,other,want to go,
Balearic Islands,39.355303899999996,3.1281999000000003,https://www.google.com/maps/place/Can+Ferrereta/data=!4m2!3m1!1s0x12965484b64724d3:0x730c313e7a6238b0,Can Ferrereta,hotel,favorite,
Balearic Islands,39.31361385,3.1213985999999996,https://www.google.com/maps/place/Cal%C3%B3+del+Moro/data=!4m2!3m1!1s0x1296551884795223:0xbd6f8cde105dd8a7,Caló del Moro,park,favorite,
Balearic Islands,39.70988,2.6223500000000004,https://www.google.com/maps/place/Barbaflorida+caf%C3%A8/data=!4m2!3m1!1s0x1297efea18f4a947:0xb2d63acc5436e10e,Barbaflorida cafè,bakery,want to go,
Palma Mallorca,39.571405899999995,2.6501445,https://www.google.com/maps/place/Fornet+de+la+Soca/data=!4m2!3m1!1s0x1297925a6e6a4d4d:0xce16afd0ce81ac82,Fornet de la Soca,bakery,want to go,
Balearic Islands,39.5169977,2.7465743000000002,https://www.google.com/maps/place/Bierk%C3%B6nig/data=!4m2!3m1!1s0x129792f892f2ad61:0x6b817389b34f2799,Bierkönig,bar,want to go,
Balearic Islands,39.35535209999999,3.128236,https://www.google.com/maps/place/OCRE+Restaurant+%26+Bar+-+Can+Ferrereta/data=!4m2!3m1!1s0x1296552b6c45d391:0x9a793f20b641b021,OCRE Restaurant & Bar - Can Ferrereta,bar,want to go,
Balearic Islands,39.84968335,2.79997025,https://www.google.com/maps/place/Sa+Calobra/data=!4m2!3m1!1s0x1297ddc22e75a9d7:0x76dbb331c5b23443,Sa Calobra,other,want to go,
Balearic Islands,39.85086145,2.7999428999999996,https://www.google.com/maps/place/Sa+Calobra/data=!4m2!3m1!1s0x1297ddc5a924bd77:0x3da7d32a4427d412,Sa Calobra,other,want to go,
Balearic Islands,39.844226250000006,2.8240620499999998,https://www.google.com/maps/place/torrent+de+Pareis/data=!4m2!3m1!1s0x1297dc49fb4610dd:0x83ec2f11d21655cd,torrent de Pareis,other,want to go,
Palma Mallorca,39.571024200000004,2.6478452,https://www.google.com/maps/place/El+Camino/data=!4m2!3m1!1s0x129793c990e5732b:0x6d62b30549f89d8b,El Camino,restaurant,want to go,
Palma Mallorca,39.57136200000001,2.654532,https://www.google.com/maps/place/L'Informal+Tacos/data=!4m2!3m1!1s0x129793739f8c197b:0x288e8599147d23a4,L'Informal Tacos,restaurant,want to go,
